TIME_PERIOD#es,SEXO,EDAD,Prediccion
2026,Mujeres,10 años,93.9099
2026,Mujeres,12 años,89.91247
2026,Mujeres,14 años,78.796425
2026,Mujeres,15 años,75.70041
2026,Mujeres,8 años,96.790726
2026,Hombres,10 años,92.59786
2026,Hombres,12 años,87.38342
2026,Hombres,14 años,71.027534
2026,Hombres,15 años,68.20224
2026,Hombres,8 años,95.699974
2027,Mujeres,10 años,93.9099
2027,Mujeres,12 años,89.91247
2027,Mujeres,14 años,78.796425
2027,Mujeres,15 años,75.70041
2027,Mujeres,8 años,96.790726
2027,Hombres,10 años,92.59786
2027,Hombres,12 años,87.38342
2027,Hombres,14 años,71.027534
2027,Hombres,15 años,68.20224
2027,Hombres,8 años,95.699974
2028,Mujeres,10 años,93.9099
2028,Mujeres,12 años,89.91247
2028,Mujeres,14 años,78.796425
2028,Mujeres,15 años,75.70041
2028,Mujeres,8 años,96.790726
2028,Hombres,10 años,92.59786
2028,Hombres,12 años,87.38342
2028,Hombres,14 años,71.027534
2028,Hombres,15 años,68.20224
2028,Hombres,8 años,95.699974
2029,Mujeres,10 años,93.9099
2029,Mujeres,12 años,89.91247
2029,Mujeres,14 años,78.796425
2029,Mujeres,15 años,75.70041
2029,Mujeres,8 años,96.790726
2029,Hombres,10 años,92.59786
2029,Hombres,12 años,87.38342
2029,Hombres,14 años,71.027534
2029,Hombres,15 años,68.20224
2029,Hombres,8 años,95.699974
2030,Mujeres,10 años,93.9099
2030,Mujeres,12 años,89.91247
2030,Mujeres,14 años,78.796425
2030,Mujeres,15 años,75.70041
2030,Mujeres,8 años,96.790726
2030,Hombres,10 años,92.59786
2030,Hombres,12 años,87.38342
2030,Hombres,14 años,71.027534
2030,Hombres,15 años,68.20224
2030,Hombres,8 años,95.699974
